frame r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0.1 0.2 1
23 0.99951 -0.0030146 -0.031129 -0.77213 0.0028305 0.99998 -0.0059562 -0.049418 0.031146 0.0058652 0.9995 30.106 0 0 0 1
24 0.99951 -0.00035608 -0.031375 -0.8304 0.00023876 0.99999 -0.0037431 -0.053936 0.031376 0.0037338 0.9995 31.379 0 0 0 1
25 0.99952 0.0012334 -0.03088 -0.90588 -0.0013026 1 -0.0022236 -0.048156 0.030877 0.0022628 0.99952 32.677 0 0 0 1
26 0.99952 0.0032842 -0.030897 -0.95583 -0.003363 0.99999 -0.002501 -0.051155 0.030888 0.0026037 0.99952 33.982 0 0 0 1
27 0.99953 0.0029099 -0.030597 -1.0088 -0.0030344 0.99999 -0.0040243 -0.051901 0.030585 0.0041152 0.99952 35.244 0 0 0 1
28 0.99953 0.0023293 -0.030565 -1.0426 -0.0025168 0.99998 -0.0060992 -0.043506 0.03055 0.0061733 0.99951 36.532 0 0 0 1
29 0.99956 0.0015243 -0.029739 -1.0852 -0.0017308 0.99997 -0.0069189 -0.045454 0.029727 0.0069674 0.99953 37.78 0 0 0 1
30 0.9996 0.00062938 -0.02839 -1.1274 -0.00080262 0.99998 -0.0060913 -0.051749 0.028386 0.0061116 0.99958 39.005 0 0 0 1
31 0.99966 -2.6061e-06 -0.026176 -1.1683 -0.00012024 0.99999 -0.0046916 -0.055601 0.026175 0.0046932 0.99965 40.239 0 0 0 1
32 0.99973 -0.00010653 -0.0234 -1.2066 1.6774e-06 0.99999 -0.0044808 -0.056005 0.0234 0.0044795 0.99972 41.473 0 0 0 1
33 0.99979 4.8044e-05 -0.020458 -1.2347 -0.00013307 0.99999 -0.0041546 -0.064536 0.020458 0.0041565 0.99978 42.69 0 0 0 1
34 0.99985 -0.0010831 -0.01719 -1.2642 0.0010093 0.99999 -0.0042989 -0.064081 0.017195 0.0042809 0.99984 43.905 0 0 0 1
35 0.9999 -0.0021523 -0.014036 -1.2866 0.0021013 0.99999 -0.0036448 -0.075936 0.014044 0.0036149 0.99989 45.107 0 0 0 1
36 0.99993 -0.0052537 -0.010194 -1.3376 0.0052199 0.99998 -0.0033392 -0.07475 0.010212 0.0032858 0.99994 46.371 0 0 0 1
37 0.99995 -0.006813 -0.0066129 -1.3504 0.0067899 0.99997 -0.0035098 -0.077902 0.0066367 0.0034647 0.99997 47.58 0 0 0 1
38 0.99997 -0.006735 -0.0026252 -1.3601 0.0067258 0.99997 -0.0034956 -0.080972 0.0026486 0.0034779 0.99999 48.799 0 0 0 1
39 0.99997 -0.0071653 0.0018251 -1.3758 0.0071714 0.99997 -0.0033443 -0.075515 -0.0018011 0.0033573 0.99999 50.022 0 0 0 1
40 0.99997 -0.0050885 0.00588 -1.3901 0.0051107 0.99998 -0.0037752 -0.076714 -0.0058606 0.0038052 0.99998 51.241 0 0 0 1
41 0.99994 -0.004747 0.010186 -1.3882 0.0047944 0.99998 -0.0046304 -0.083007 -0.010164 0.0046789 0.99994 52.445 0 0 0 1
42 0.99989 -0.0040601 0.014045 -1.3841 0.0041391 0.99998 -0.0055991 -0.083835 -0.014022 0.0056567 0.99989 53.665 0 0 0 1
43 0.99984 -0.0047973 0.017463 -1.3726 0.0048941 0.99997 -0.0055013 -0.093818 -0.017436 0.0055858 0.99983 54.876 0 0 0 1
44 0.99977 -0.0062757 0.020305 -1.3514 0.0063915 0.99996 -0.0056408 -0.095538 -0.020269 0.0057693 0.99978 56.093 0 0 0 1
45 0.99973 -0.0064439 0.022438 -1.3327 0.0065756 0.99996 -0.0057996 -0.092706 -0.0224 0.0059455 0.99973 57.315 0 0 0 1
46 0.99969 -0.0067993 0.024035 -1.3195 0.0069502 0.99996 -0.0062007 -0.091361 -0.023992 0.0063659 0.99969 58.532 0 0 0 1
47 0.99965 -0.006778 0.025407 -1.3077 0.0069768 0.99995 -0.0077444 -0.090038 -0.025353 0.007919 0.99965 59.765 0 0 0 1
48 0.99965 -0.0032056 0.026079 -1.2914 0.0034591 0.99995 -0.0096824 -0.096377 -0.026047 0.0097693 0.99961 60.98 0 0 0 1
49 0.99965 -0.0026095 0.02624 -1.2747 0.0028115 0.99997 -0.007665 -0.099389 -0.02622 0.0077361 0.99963 62.203 0 0 0 1
50 0.99966 -0.001115 0.025969 -1.2665 0.0012411 0.99999 -0.00484 -0.099482 -0.025964 0.0048706 0.99965 63.44 0 0 0 1
51 0.99967 -0.003691 0.025306 -1.2345 0.0037465 0.99999 -0.0021463 -0.10325 -0.025298 0.0022404 0.99968 64.676 0 0 0 1
52 0.9997 -0.0069155 0.023626 -1.191 0.0069449 0.99998 -0.0011605 -0.098225 -0.023617 0.0013242 0.99972 65.915 0 0 0 1
53 0.99971 -0.0082236 0.022491 -1.1709 0.0082491 0.99997 -0.0010429 -0.099027 -0.022481 0.0012281 0.99975 67.137 0 0 0 1
54 0.99971 -0.0093375 0.022008 -1.1554 0.0094099 0.99995 -0.0031903 -0.094522 -0.021978 0.0033965 0.99975 68.351 0 0 0 1
55 0.99975 -0.0072504 0.021263 -1.1408 0.00738 0.99995 -0.006023 -0.089471 -0.021218 0.0061784 0.99976 69.571 0 0 0 1
56 0.99979 -0.0046211 0.019882 -1.1343 0.0047839 0.99996 -0.0081443 -0.088445 -0.019843 0.0082377 0.99977 70.829 0 0 0 1
57 0.99983 -0.0045155 0.017941 -1.1242 0.0046681 0.99995 -0.0084756 -0.095394 -0.017902 0.0085579 0.9998 72.026 0 0 0 1
58 0.99988 -0.0033394 0.015074 -1.116 0.0034536 0.99997 -0.0075568 -0.10771 -0.015049 0.0076079 0.99986 73.254 0 0 0 1
59 0.99993 -0.0034316 0.011132 -1.1103 0.0035071 0.99997 -0.0067641 -0.10955 -0.011109 0.0068027 0.99992 74.481 0 0 0 1
60 0.99998 -0.0010655 0.0068737 -1.116 0.0011159 0.99997 -0.0073298 -0.11391 -0.0068657 0.0073373 0.99995 75.721 0 0 0 1
61 0.99999 0.00072217 0.0031002 -1.1192 -0.00069655 0.99997 -0.0082565 -0.11655 -0.003106 0.0082543 0.99996 76.943 0 0 0 1
62 0.99999 0.0039255 0.00046213 -1.1305 -0.0039218 0.99996 -0.0076135 -0.12563 -0.000492 0.0076116 0.99997 78.147 0 0 0 1
63 0.99999 0.0052164 -0.0011454 -1.1379 -0.0052251 0.99996 -0.0077829 -0.12494 0.0011047 0.0077887 0.99997 79.381 0 0 0 1
64 0.99997 0.0065958 -0.0026833 -1.1518 -0.0066175 0.99994 -0.0081481 -0.11968 0.0026294 0.0081656 0.99996 80.614 0 0 0 1
65 0.99999 0.0030146 -0.004033 -1.1648 -0.0030553 0.99994 -0.010133 -0.12359 0.0040022 0.010145 0.99994 81.858 0 0 0 1
66 0.99998 0.0022985 -0.0060048 -1.1755 -0.0023856 0.99989 -0.014537 -0.13327 0.0059708 0.014551 0.99988 83.089 0 0 0 1
67 0.99997 0.0012468 -0.0077151 -1.1886 -0.001379 0.99985 -0.017154 -0.13005 0.0076925 0.017164 0.99982 84.341 0 0 0 1
68 0.99995 0.00070939 -0.0097625 -1.2028 -0.00083389 0.99992 -0.012754 -0.15102 0.0097527 0.012762 0.99987 85.587 0 0 0 1
69 0.99993 0.0013524 -0.011711 -1.2173 -0.0014298 0.99998 -0.0066025 -0.15389 0.011702 0.0066188 0.99991 86.857 0 0 0 1
70 0.9999 0.0025361 -0.013813 -1.2402 -0.0025804 0.99999 -0.0031899 -0.15664 0.013805 0.0032252 0.9999 88.117 0 0 0 1
71 0.99987 0.0034288 -0.015947 -1.2702 -0.0034891 0.99999 -0.0037589 -0.15285 0.015934 0.003814 0.99987 89.38 0 0 0 1
72 0.99983 0.0050178 -0.018002 -1.3137 -0.0051412 0.99996 -0.0068176 -0.15325 0.017967 0.006909 0.99981 90.64 0 0 0 1
73 0.99975 0.0080218 -0.020801 -1.3537 -0.0082217 0.99992 -0.0095445 -0.15392 0.020723 0.0097131 0.99974 91.901 0 0 0 1
74 0.99968 0.0087623 -0.023854 -1.3948 -0.0090173 0.9999 -0.010603 -0.1553 0.023759 0.010815 0.99966 93.178 0 0 0 1
75 0.99956 0.011706 -0.027079 -1.4465 -0.011969 0.99988 -0.0095564 -0.16687 0.026964 0.0098763 0.99959 94.447 0 0 0 1
76 0.99943 0.012755 -0.031209 -1.4909 -0.013037 0.99988 -0.0088472 -0.17768 0.031092 0.0092491 0.99947 95.735 0 0 0 1
77 0.99927 0.014646 -0.035333 -1.5506 -0.01499 0.99984 -0.0094733 -0.18159 0.035189 0.009996 0.99933 97.032 0 0 0 1
78 0.99911 0.016028 -0.039049 -1.6165 -0.016443 0.99981 -0.010336 -0.18817 0.038876 0.010969 0.99918 98.301 0 0 0 1
79 0.99888 0.019047 -0.043215 -1.6861 -0.019471 0.99977 -0.009422 -0.19621 0.043025 0.010253 0.99902 99.573 0 0 0 1
80 0.99868 0.019804 -0.047321 -1.7592 -0.020219 0.99976 -0.008298 -0.19974 0.047146 0.0092439 0.99885 100.86 0 0 0 1
81 0.99843 0.021194 -0.051936 -1.8369 -0.021589 0.99974 -0.0070605 -0.20993 0.051773 0.0081706 0.99863 102.13 0 0 0 1
82 0.99813 0.022305 -0.056869 -1.9196 -0.022789 0.99971 -0.0078727 -0.21982 0.056677 0.009154 0.99835 103.42 0 0 0 1
83 0.99786 0.022304 -0.061463 -2.0069 -0.022889 0.9997 -0.0088256 -0.23378 0.061247 0.010214 0.99807 104.69 0 0 0 1
84 0.99761 0.023264 -0.065119 -2.1045 -0.023866 0.99968 -0.0084719 -0.24161 0.064901 0.010006 0.99784 105.97 0 0 0 1
85 0.99733 0.025809 -0.068294 -2.211 -0.026294 0.99963 -0.0062096 -0.26247 0.068109 0.0079887 0.99765 107.24 0 0 0 1
86 0.99712 0.025803 -0.071302 -2.3059 -0.026195 0.99965 -0.004573 -0.27262 0.071159 0.0064275 0.99744 108.52 0 0 0 1
87 0.99689 0.026647 -0.0742 -2.4067 -0.026962 0.99963 -0.0032435 -0.27769 0.074086 0.005234 0.99724 109.79 0 0 0 1
88 0.99672 0.027509 -0.076082 -2.5185 -0.027812 0.99961 -0.0029213 -0.28052 0.075972 0.0050277 0.9971 111.07 0 0 0 1
89 0.99651 0.02876 -0.078415 -2.6322 -0.029108 0.99957 -0.0033058 -0.27874 0.078286 0.0055767 0.99692 112.34 0 0 0 1
90 0.99632 0.028556 -0.080873 -2.7423 -0.028877 0.99958 -0.0028095 -0.28926 0.080759 0.0051345 0.99672 113.6 0 0 0 1
91 0.99613 0.029096 -0.082971 -2.8617 -0.029481 0.99956 -0.0034178 -0.28075 0.082835 0.0058506 0.99655 114.91 0 0 0 1
92 0.99591 0.029425 -0.085441 -2.9794 -0.029945 0.99954 -0.0048133 -0.28692 0.08526 0.0073522 0.99633 116.21 0 0 0 1
93 0.99575 0.028558 -0.087563 -3.1023 -0.029136 0.99956 -0.0053293 -0.30488 0.087372 0.0078579 0.99614 117.51 0 0 0 1
94 0.99551 0.032089 -0.089026 -3.2273 -0.032679 0.99945 -0.0051751 -0.30669 0.088812 0.0080612 0.99602 118.8 0 0 0 1
95 0.99537 0.032301 -0.090513 -3.3558 -0.032806 0.99945 -0.0040994 -0.30365 0.090331 0.0070497 0.99589 120.08 0 0 0 1
96 0.99516 0.034672 -0.091932 -3.4845 -0.035014 0.99938 -0.0021107 -0.30691 0.091802 0.0053194 0.99576 121.38 0 0 0 1
97 0.99511 0.03422 -0.092671 -3.6066 -0.034329 0.99941 0.00041545 -0.30252 0.092631 0.0027679 0.9957 122.64 0 0 0 1
98 0.99498 0.035655 -0.093465 -3.7426 -0.03586 0.99936 -0.00051117 -0.30116 0.093387 0.0038602 0.99562 123.92 0 0 0 1
99 0.99487 0.036915 -0.09415 -3.8841 -0.037584 0.99928 -0.0053462 -0.29736 0.093885 0.0088574 0.99554 125.2 0 0 0 1
100 0.99477 0.037036 -0.095227 -4.0156 -0.037999 0.99924 -0.0083131 -0.30884 0.094847 0.011888 0.99542 126.49 0 0 0 1
101 0.99476 0.036376 -0.09558 -4.1521 -0.037369 0.99926 -0.0086195 -0.31891 0.095196 0.012146 0.99538 127.76 0 0 0 1
102 0.99478 0.034113 -0.096222 -4.2828 -0.035168 0.99934 -0.0092972 -0.32437 0.095841 0.012633 0.99532 129.05 0 0 0 1
103 0.99481 0.029943 -0.097261 -4.4076 -0.031108 0.99946 -0.010485 -0.33444 0.096895 0.013456 0.9952 130.35 0 0 0 1
104 0.99484 0.027543 -0.097602 -4.5405 -0.028715 0.99953 -0.010616 -0.33871 0.097264 0.013364 0.99517 131.63 0 0 0 1
105 0.99487 0.025341 -0.097963 -4.6782 -0.026314 0.99962 -0.0086604 -0.34644 0.097706 0.011194 0.99515 132.92 0 0 0 1
106 0.99481 0.025833 -0.098391 -4.8179 -0.026655 0.99962 -0.0070524 -0.35604 0.098172 0.0096385 0.99512 134.22 0 0 0 1
107 0.99479 0.026545 -0.098459 -4.9594 -0.0274 0.9996 -0.0073512 -0.35866 0.098224 0.010011 0.99511 135.54 0 0 0 1
108 0.99474 0.028552 -0.098383 -5.1137 -0.029469 0.99953 -0.0078746 -0.35867 0.098112 0.010732 0.99512 136.86 0 0 0 1
109 0.9947 0.029157 -0.098583 -5.2578 -0.030088 0.99952 -0.0079704 -0.35569 0.098303 0.010894 0.9951 138.19 0 0 0 1
110 0.99463 0.028716 -0.099454 -5.3951 -0.029577 0.99954 -0.0071917 -0.37083 0.099202 0.010095 0.99502 139.53 0 0 0 1
111 0.99459 0.028102 -0.10002 -5.5386 -0.02902 0.99955 -0.0077357 -0.37374 0.09976 0.010596 0.99496 140.9 0 0 0 1
112 0.99453 0.026871 -0.1009 -5.6799 -0.027958 0.99957 -0.0093741 -0.38107 0.10061 0.012144 0.99485 142.27 0 0 0 1
113 0.99442 0.027477 -0.10186 -5.8292 -0.028834 0.99951 -0.011869 -0.38425 0.10149 0.01474 0.99473 143.64 0 0 0 1
114 0.99435 0.026553 -0.1028 -5.9759 -0.027997 0.99953 -0.012632 -0.4016 0.10241 0.015439 0.99462 145.03 0 0 0 1
115 0.99422 0.027558 -0.10374 -6.1357 -0.02902 0.9995 -0.012604 -0.4089 0.10334 0.015542 0.99453 146.41 0 0 0 1
116 0.9941 0.02815 -0.10471 -6.2911 -0.029343 0.99952 -0.0098676 -0.41527 0.10438 0.012882 0.99445 147.83 0 0 0 1
117 0.99402 0.028282 -0.10543 -6.4507 -0.029103 0.99956 -0.0062523 -0.41844 0.10521 0.0092834 0.99441 149.25 0 0 0 1
118 0.99396 0.026724 -0.10644 -6.6057 -0.027516 0.9996 -0.0059814 -0.42458 0.10624 0.0088741 0.9943 150.71 0 0 0 1
119 0.99387 0.024843 -0.1077 -6.7609 -0.025874 0.99963 -0.0081902 -0.42174 0.10745 0.010927 0.99415 152.18 0 0 0 1
120 0.99377 0.024569 -0.10875 -6.9254 -0.025907 0.9996 -0.010904 -0.41899 0.10844 0.013653 0.99401 153.61 0 0 0 1
121 0.99372 0.023823 -0.10931 -7.0947 -0.02531 0.9996 -0.012236 -0.41799 0.10897 0.014925 0.99393 155.07 0 0 0 1
122 0.99363 0.025256 -0.10978 -7.2729 -0.026626 0.99958 -0.01103 -0.42778 0.10946 0.013883 0.99389 156.52 0 0 0 1
123 0.99354 0.024847 -0.11071 -7.4389 -0.026017 0.99962 -0.0091343 -0.43989 0.11044 0.011956 0.99381 158.01 0 0 0 1
124 0.99342 0.025073 -0.11177 -7.603 -0.026149 0.99962 -0.0081734 -0.45682 0.11153 0.011042 0.9937 159.51 0 0 0 1
125 0.9934 0.025585 -0.11181 -7.7861 -0.026834 0.99959 -0.0096718 -0.46372 0.11151 0.012608 0.99368 161.03 0 0 0 1
126 0.99336 0.025101 -0.11228 -7.9743 -0.026404 0.9996 -0.010129 -0.46963 0.11198 0.013026 0.99362 162.56 0 0 0 1
127 0.99326 0.024799 -0.11318 -8.1476 -0.025892 0.99963 -0.0081935 -0.47076 0.11294 0.011069 0.99354 164.09 0 0 0 1
128 0.99318 0.023924 -0.11413 -8.3274 -0.024733 0.99968 -0.0056761 -0.48342 0.11395 0.00846 0.99345 165.6 0 0 0 1
129 0.99305 0.025173 -0.11496 -8.5158 -0.025897 0.99965 -0.0048088 -0.48238 0.1148 0.0077526 0.99336 167.16 0 0 0 1
130 0.99288 0.02655 -0.1161 -8.7025 -0.027272 0.99962 -0.0046341 -0.48873 0.11593 0.0077674 0.99323 168.69 0 0 0 1
131 0.99273 0.026703 -0.1174 -8.893 -0.027393 0.99962 -0.0042644 -0.50125 0.11724 0.0074493 0.99308 170.2 0 0 0 1
132 0.99256 0.025915 -0.11896 -9.0801 -0.026578 0.99964 -0.0039923 -0.50849 0.11881 0.0071243 0.99289 171.7 0 0 0 1
133 0.99243 0.024688 -0.12034 -9.277 -0.025256 0.99968 -0.0031977 -0.51684 0.12022 0.0062128 0.99273 173.19 0 0 0 1
134 0.99226 0.022915 -0.12206 -9.4689 -0.023253 0.99973 -0.0013419 -0.52133 0.12199 0.0041696 0.99252 174.71 0 0 0 1
135 0.99213 0.022275 -0.12322 -9.6679 -0.022374 0.99975 0.00058522 -0.52713 0.12321 0.0021764 0.99238 176.18 0 0 0 1
136 0.99201 0.020678 -0.12444 -9.872 -0.020357 0.99979 0.0038541 -0.5294 0.12449 -0.0012901 0.99222 177.7 0 0 0 1
137 0.99187 0.021356 -0.12549 -10.066 -0.02052 0.99976 0.0079548 -0.52168 0.12563 -0.0053151 0.99206 179.2 0 0 0 1
138 0.99179 0.023571 -0.12573 -10.275 -0.022691 0.99971 0.0084299 -0.50939 0.12589 -0.0055078 0.99203 180.74 0 0 0 1
139 0.99173 0.025276 -0.12581 -10.476 -0.025264 0.99968 0.0016922 -0.50545 0.12582 0.0015004 0.99205 182.24 0 0 0 1
140 0.99169 0.02651 -0.12589 -10.671 -0.027458 0.99961 -0.0057954 -0.51091 0.12569 0.009204 0.99203 183.7 0 0 0 1
141 0.99171 0.027231 -0.12561 -10.87 -0.028351 0.99957 -0.0071362 -0.52028 0.12537 0.010638 0.99205 185.17 0 0 0 1
142 0.9918 0.024669 -0.12541 -11.064 -0.025278 0.99968 -0.0032647 -0.52971 0.12529 0.0064079 0.9921 186.65 0 0 0 1
143 0.99186 0.02188 -0.12542 -11.258 -0.022289 0.99975 -0.0018612 -0.54598 0.12535 0.0046416 0.9921 188.12 0 0 0 1
