frame tid label truncated occluded alpha l t r b w3d h3d l3d x3d y3d z3d ry rx rz truncr occupr orig_label moving model color score
50 2 Car -1 -1 -1.000000 577.000000 181.000000 643.000000 230.000000 1.453318 1.610802 4.047555 -0.127331 1.664837 22.642472 -1.697254 0 0 -1 -1 -1 -1 -1 -1 1
51 2 Car -1 -1 -1.000000 572.000000 178.000000 638.000000 228.000000 1.446328 1.596535 4.041153 -0.268286 1.644695 22.942067 -1.705416 0 0 -1 -1 -1 -1 -1 -1 1
52 2 Car -1 -1 -1.000000 570.000000 177.000000 633.000000 226.000000 1.417312 1.571903 3.792760 -0.410758 1.587341 23.142382 -1.689642 0 0 -1 -1 -1 -1 -1 -1 1
53 2 Car -1 -1 -1.000000 567.000000 177.000000 627.000000 224.000000 1.459375 1.586361 3.916683 -0.553976 1.623848 23.600225 -1.699013 0 0 -1 -1 -1 -1 -1 -1 1
54 2 Car -1 -1 -1.000000 564.000000 180.000000 623.000000 226.000000 1.414320 1.635570 3.851116 -0.725190 1.259063 23.751242 -1.680452 0 0 -1 -1 -1 -1 -1 -1 1
55 2 Car -1 -1 -1.000000 559.000000 181.000000 618.000000 227.000000 1.431143 1.626258 3.998394 -0.830629 1.703858 24.459008 -1.688668 0 0 -1 -1 -1 -1 -1 -1 1
56 2 Car -1 -1 -1.000000 557.000000 183.000000 612.000000 227.000000 1.466043 1.646271 4.090939 -0.959027 1.770089 25.037650 -1.696056 0 0 -1 -1 -1 -1 -1 -1 1
57 2 Car -1 -1 -1.000000 555.000000 183.000000 609.000000 227.000000 1.425145 1.605357 4.013792 -1.093950 1.751641 25.176626 -1.698379 0 0 -1 -1 -1 -1 -1 -1 1
58 2 Car -1 -1 -1.000000 554.000000 182.000000 608.000000 225.000000 1.498958 1.611568 4.018187 -0.871280 1.318729 25.215899 -1.658906 0 0 -1 -1 -1 -1 -1 -1 1
59 2 Car -1 -1 -1.000000 554.000000 182.000000 604.000000 223.000000 1.461828 1.611244 4.004288 -1.278047 1.727860 25.913825 -1.685143 0 0 -1 -1 -1 -1 -1 -1 1
60 2 Car -1 -1 -1.000000 553.000000 182.000000 602.000000 223.000000 1.428180 1.588469 3.974958 -1.294676 1.727706 26.141794 -1.668155 0 0 -1 -1 -1 -1 -1 -1 1
61 2 Car -1 -1 -1.000000 553.000000 183.000000 605.000000 224.000000 1.414973 1.598023 3.967073 -1.318569 1.772322 26.540379 -1.687053 0 0 -1 -1 -1 -1 -1 -1 1
62 2 Car -1 -1 -1.000000 551.000000 182.000000 601.000000 223.000000 1.401554 1.522212 3.644206 -1.259583 1.604603 26.017595 -1.713398 0 0 -1 -1 -1 -1 -1 -1 1
63 2 Car -1 -1 -1.000000 548.000000 181.000000 612.000000 222.000000 1.425747 1.611090 3.944122 -1.401159 1.723755 27.337890 -1.625330 0 0 -1 -1 -1 -1 -1 -1 1
64 2 Car -1 -1 -1.000000 575.000000 173.000000 668.000000 258.000000 1.536180 1.639769 3.760843 0.167257 1.578497 15.768999 -1.670773 0 0 -1 -1 -1 -1 -1 -1 1
65 2 Car -1 -1 -1.000000 545.000000 183.000000 590.000000 223.000000 1.403157 1.543627 3.826649 -1.406263 1.352001 27.252305 -1.686352 0 0 -1 -1 -1 -1 -1 -1 1
66 2 Car -1 -1 -1.000000 545.000000 187.000000 594.000000 226.000000 1.486391 1.610472 3.829097 -1.554949 2.002960 28.134868 -1.664885 0 0 -1 -1 -1 -1 -1 -1 1
67 2 Car -1 -1 -1.000000 542.000000 191.000000 589.000000 227.000000 1.455744 1.592961 3.810673 -1.776961 2.042479 28.619178 -1.680415 0 0 -1 -1 -1 -1 -1 -1 1
68 2 Car -1 -1 -1.000000 543.000000 187.000000 587.000000 223.000000 1.462611 1.606750 3.948752 -1.924660 1.899125 29.107800 -1.661057 0 0 -1 -1 -1 -1 -1 -1 1
69 2 Car -1 -1 -1.000000 542.000000 180.000000 594.000000 219.000000 1.499913 1.593622 3.977894 -1.958170 1.797606 29.550529 -1.686582 0 0 -1 -1 -1 -1 -1 -1 1
70 2 Car -1 -1 -1.000000 541.000000 179.000000 593.000000 217.000000 1.535906 1.635264 4.080581 -1.910242 1.305774 29.948587 -1.632958 0 0 -1 -1 -1 -1 -1 -1 1
71 2 Car -1 -1 -1.000000 541.000000 179.000000 588.000000 217.000000 1.506343 1.588002 3.995695 -2.067110 1.622915 30.244913 -1.612266 0 0 -1 -1 -1 -1 -1 -1 1
72 2 Car -1 -1 -1.000000 553.000000 173.000000 628.000000 244.000000 1.571957 1.638903 4.096660 -0.593870 1.583714 18.581424 -1.634102 0 0 -1 -1 -1 -1 -1 -1 1
10 3 Car -1 -1 -1.000000 239.000000 173.000000 292.000000 199.000000 1.594425 1.684369 3.907755 -20.950662 1.710604 44.580305 1.604765 0 0 -1 -1 -1 -1 -1 -1 1
11 3 Car -1 -1 -1.000000 230.000000 175.000000 284.000000 200.000000 1.554478 1.552334 3.589808 -21.013753 1.585715 43.297637 1.617698 0 0 -1 -1 -1 -1 -1 -1 1
12 3 Car -1 -1 -1.000000 228.000000 177.000000 282.000000 202.000000 1.520595 1.568772 3.639021 -20.863635 1.723050 42.145761 1.611170 0 0 -1 -1 -1 -1 -1 -1 1
13 3 Car -1 -1 -1.000000 205.000000 177.000000 272.000000 203.000000 1.507206 1.582442 3.647963 -20.748742 1.706979 40.956865 1.609388 0 0 -1 -1 -1 -1 -1 -1 1
14 3 Car -1 -1 -1.000000 191.000000 179.000000 268.000000 207.000000 1.585129 1.547340 3.493640 -20.585456 1.887266 39.798346 1.619495 0 0 -1 -1 -1 -1 -1 -1 1
15 3 Car -1 -1 -1.000000 190.000000 180.000000 259.000000 210.000000 1.537025 1.522091 3.484649 -20.303821 1.418311 38.814219 1.630351 0 0 -1 -1 -1 -1 -1 -1 1
16 3 Car -1 -1 -1.000000 182.000000 181.000000 250.000000 212.000000 1.562437 1.591036 3.746070 -20.343683 2.093891 37.590286 1.616270 0 0 -1 -1 -1 -1 -1 -1 1
17 3 Car -1 -1 -1.000000 175.000000 179.000000 241.000000 212.000000 1.547347 1.559312 3.616305 -20.292417 1.979272 36.463325 1.625448 0 0 -1 -1 -1 -1 -1 -1 1
18 3 Car -1 -1 -1.000000 160.000000 180.000000 230.000000 213.000000 1.518059 1.576993 3.678605 -20.222709 1.964870 35.330106 1.628650 0 0 -1 -1 -1 -1 -1 -1 1
19 3 Car -1 -1 -1.000000 148.000000 181.000000 218.000000 214.000000 1.497028 1.578587 3.735683 -20.216747 1.889605 34.254515 1.600325 0 0 -1 -1 -1 -1 -1 -1 1
20 3 Car -1 -1 -1.000000 134.000000 182.000000 206.000000 216.000000 1.506078 1.594426 3.831545 -20.216144 1.878529 33.135966 1.597821 0 0 -1 -1 -1 -1 -1 -1 1
21 3 Car -1 -1 -1.000000 119.000000 184.000000 194.000000 219.000000 1.547916 1.567673 3.691871 -20.116622 1.981229 31.934795 1.613933 0 0 -1 -1 -1 -1 -1 -1 1
22 3 Car -1 -1 -1.000000 101.000000 185.000000 182.000000 222.000000 1.487090 1.587370 3.704043 -20.060384 1.966831 30.864686 1.576145 0 0 -1 -1 -1 -1 -1 -1 1
23 3 Car -1 -1 -1.000000 84.000000 187.000000 159.000000 224.000000 1.472254 1.570630 3.633497 -20.058673 2.035711 29.550571 1.590988 0 0 -1 -1 -1 -1 -1 -1 1
24 3 Car -1 -1 -1.000000 57.000000 185.000000 145.000000 222.000000 1.475634 1.568196 3.604185 -20.029844 1.430573 28.476058 1.600665 0 0 -1 -1 -1 -1 -1 -1 1
25 3 Car -1 -1 -1.000000 61.000000 183.000000 132.000000 221.000000 1.504316 1.605678 3.810101 -20.005205 1.887492 27.585520 1.554102 0 0 -1 -1 -1 -1 -1 -1 1
26 3 Car -1 -1 -1.000000 3.000000 181.000000 114.000000 228.000000 1.522631 1.583632 3.842648 -19.991445 1.782901 26.282489 1.626625 0 0 -1 -1 -1 -1 -1 -1 1
27 3 Car -1 -1 -1.000000 0.000000 183.000000 93.000000 229.000000 1.470260 1.545340 3.588765 -19.973687 1.850182 25.142030 1.593552 0 0 -1 -1 -1 -1 -1 -1 1
28 3 Car -1 -1 -1.000000 0.000000 183.000000 71.000000 231.000000 1.493306 1.589129 3.659978 -20.077412 1.581928 24.054796 1.569532 0 0 -1 -1 -1 -1 -1 -1 1
36 11 Car -1 -1 -1.000000 833.000000 162.000000 1241.000000 375.000000 1.598048 1.614669 3.761699 3.303404 1.601253 5.818361 -1.601457 0 0 -1 -1 -1 -1 -1 -1 1
37 11 Car -1 -1 -1.000000 814.000000 162.000000 1241.000000 372.000000 1.514363 1.590856 3.691109 3.248926 1.436181 6.149152 -1.642788 0 0 -1 -1 -1 -1 -1 -1 1
38 11 Car -1 -1 -1.000000 800.000000 164.000000 1223.000000 372.000000 1.538939 1.591516 3.796898 3.190600 1.534574 6.600228 -1.640142 0 0 -1 -1 -1 -1 -1 -1 1
39 11 Car -1 -1 -1.000000 777.000000 166.000000 1172.000000 375.000000 1.554727 1.598143 3.736116 3.028542 1.538281 6.835026 -1.649991 0 0 -1 -1 -1 -1 -1 -1 1
40 11 Car -1 -1 -1.000000 770.000000 164.000000 1118.000000 374.000000 1.550128 1.601306 3.696053 2.918290 1.580282 7.201795 -1.636045 0 0 -1 -1 -1 -1 -1 -1 1
41 11 Car -1 -1 -1.000000 752.000000 164.000000 1079.000000 369.000000 1.598356 1.640919 3.941046 2.744483 1.602697 7.645779 -1.669041 0 0 -1 -1 -1 -1 -1 -1 1
42 11 Car -1 -1 -1.000000 735.000000 170.000000 1032.000000 363.000000 1.504029 1.580386 3.659194 2.550363 1.568261 7.780621 -1.657482 0 0 -1 -1 -1 -1 -1 -1 1
43 11 Car -1 -1 -1.000000 718.000000 169.000000 995.000000 354.000000 1.561883 1.582751 3.751489 2.460922 1.587612 8.221076 -1.690156 0 0 -1 -1 -1 -1 -1 -1 1
44 11 Car -1 -1 -1.000000 702.000000 171.000000 958.000000 343.000000 1.586473 1.604918 3.695567 2.329873 1.609484 8.582907 -1.692080 0 0 -1 -1 -1 -1 -1 -1 1
45 11 Car -1 -1 -1.000000 691.000000 171.000000 931.000000 338.000000 1.584186 1.623985 3.830251 2.170433 1.635581 8.914142 -1.662951 0 0 -1 -1 -1 -1 -1 -1 1
46 11 Car -1 -1 -1.000000 677.000000 170.000000 900.000000 330.000000 1.538029 1.591905 3.763333 2.039816 1.608667 9.218685 -1.685166 0 0 -1 -1 -1 -1 -1 -1 1
47 11 Car -1 -1 -1.000000 670.000000 169.000000 880.000000 321.000000 1.608421 1.609012 3.758768 1.898586 1.485694 9.593610 -1.659316 0 0 -1 -1 -1 -1 -1 -1 1
48 11 Car -1 -1 -1.000000 657.000000 172.000000 855.000000 319.000000 1.599575 1.608748 3.798590 1.766788 1.583822 9.999477 -1.654184 0 0 -1 -1 -1 -1 -1 -1 1
49 11 Car -1 -1 -1.000000 650.000000 172.000000 835.000000 312.000000 1.543636 1.615076 3.731030 1.661862 1.583863 10.239573 -1.627576 0 0 -1 -1 -1 -1 -1 -1 1
50 11 Car -1 -1 -1.000000 642.000000 168.000000 817.000000 304.000000 1.501990 1.633747 3.869592 1.529360 1.545847 10.638016 -1.676434 0 0 -1 -1 -1 -1 -1 -1 1
51 11 Car -1 -1 -1.000000 633.000000 166.000000 798.000000 295.000000 1.573414 1.596937 3.660620 1.420695 1.574684 10.895817 -1.717647 0 0 -1 -1 -1 -1 -1 -1 1
52 11 Car -1 -1 -1.000000 626.000000 166.000000 785.000000 289.000000 1.545995 1.628407 3.775781 1.303257 1.560841 11.358874 -1.671909 0 0 -1 -1 -1 -1 -1 -1 1
53 11 Car -1 -1 -1.000000 621.000000 167.000000 769.000000 287.000000 1.516874 1.616838 3.681386 1.178453 1.496434 11.613710 -1.675709 0 0 -1 -1 -1 -1 -1 -1 1
54 11 Car -1 -1 -1.000000 612.000000 167.000000 756.000000 283.000000 1.618068 1.636386 3.753180 0.990048 1.445968 11.988031 -1.649625 0 0 -1 -1 -1 -1 -1 -1 1
55 11 Car -1 -1 -1.000000 605.000000 170.000000 744.000000 279.000000 1.524185 1.600606 3.650794 0.927882 1.566595 12.368963 -1.657816 0 0 -1 -1 -1 -1 -1 -1 1
56 11 Car -1 -1 -1.000000 601.000000 171.000000 732.000000 278.000000 1.523947 1.622327 3.751662 0.842367 1.596399 12.885909 -1.690271 0 0 -1 -1 -1 -1 -1 -1 1
57 11 Car -1 -1 -1.000000 595.000000 171.000000 719.000000 276.000000 1.505314 1.598126 3.759261 0.674036 1.579333 13.127446 -1.689704 0 0 -1 -1 -1 -1 -1 -1 1
58 11 Car -1 -1 -1.000000 594.000000 169.000000 711.000000 269.000000 1.530843 1.620631 3.734546 0.579544 1.441246 13.473829 -1.699142 0 0 -1 -1 -1 -1 -1 -1 1
59 11 Car -1 -1 -1.000000 588.000000 170.000000 702.000000 268.000000 1.545163 1.628170 3.699420 0.596889 1.622430 13.930031 -1.673419 0 0 -1 -1 -1 -1 -1 -1 1
60 11 Car -1 -1 -1.000000 584.000000 172.000000 695.000000 265.000000 1.591291 1.606527 3.721961 0.465476 1.678863 14.264648 -1.697430 0 0 -1 -1 -1 -1 -1 -1 1
61 11 Car -1 -1 -1.000000 585.000000 172.000000 687.000000 263.000000 1.566825 1.598168 3.762164 0.362350 1.699924 14.742865 -1.675585 0 0 -1 -1 -1 -1 -1 -1 1
62 11 Car -1 -1 -1.000000 580.000000 173.000000 681.000000 262.000000 1.557482 1.615670 3.644590 0.207759 1.622326 14.993707 -1.698825 0 0 -1 -1 -1 -1 -1 -1 1
63 11 Car -1 -1 -1.000000 576.000000 172.000000 674.000000 260.000000 1.526289 1.613746 3.760108 0.150717 1.628948 15.311192 -1.712635 0 0 -1 -1 -1 -1 -1 -1 1
64 11 Car -1 -1 -1.000000 575.000000 173.000000 668.000000 258.000000 1.536180 1.639769 3.760843 0.167257 1.578497 15.768999 -1.670773 0 0 -1 -1 -1 -1 -1 -1 1
65 11 Car -1 -1 -1.000000 567.000000 175.000000 661.000000 258.000000 1.571721 1.646852 3.870082 0.064587 1.471411 16.216809 -1.667977 0 0 -1 -1 -1 -1 -1 -1 1
66 11 Car -1 -1 -1.000000 566.000000 179.000000 655.000000 259.000000 1.536092 1.620319 3.853376 -0.154263 1.725227 16.591975 -1.727977 0 0 -1 -1 -1 -1 -1 -1 1
